Token	Corpus	Speaker_ID	Genre	Comments	Type	SemanticRelation	Whole.Genitive	Whole.Sentence	Possessor	Possessor.Head	Possessor.Expression.Type	Final.Sibilant	Possessum	Possessum.Head	Possessor.Animacy5	Possessor.Animacy3	Possessor.Animacy2	Possessum.Animacy2	Possessor.Givenness	ProtoSemanticRelation	PersistenceBinary	Possessor.Thematicity	Possessor.Length	Possessum.Length	TTR
bn01.0088.01	Brown	BN01	Adventure Fiction	0	of	BOD	the face  of a killer		a killer	killer	CommonN	N	the face	face	animate	animate	Anim	Inanim	n	Y	Y	-3.301029996	2	2	71
bn05.0101.01	Brown	BN05	Adventure Fiction	0	s	BOD	the pony's feet		the pony's	pony	CommonN	N	feet	feet	animate	animate	Anim	Inanim	g	Y	N	-3.301029996	2	1	82.05128205
bn11.0111.02	Brown	BN11	Adventure Fiction	0	s	BOD	each victim's head		each victim's	victim	CommonN	N	head	head	animate	animate	Anim	Inanim	g	Y	N	-3.301029996	2	1	76
bn04.0143.02	Brown	BN04	Adventure Fiction	1	s	BOD	a Canadian's face		a Canadian's	Canadian	ProperN	N	face	face	animate	animate	Anim	Inanim	n	Y	N	-3	2	1	76
bn08.0066.02	Brown	BN08	Adventure Fiction	0	of	BOD	the murmuring mouths  of the birds		the birds	birds	CommonN	Y	the murmuring mouths	mouths	animate	animate	Anim	Inanim	g	Y	N	-3	2	3	69
bn02.0138.02	Brown	BN02	Adventure Fiction	0	s	BOD	Cabot's shoulder		Cabot's	Cabot	ProperN	N	shoulder	shoulder	animate	animate	Anim	Inanim	g	Y	Y	-3	1	1	71
bn04.0165.01	Brown	BN04	Adventure Fiction	0	of	BOD	the backs  of their wounded , screaming mounts		their wounded, screaming mounts	mount	CommonN	Y	the backs	backs	animate	animate	Anim	Inanim	g	Y	N	-2.823908741	4	2	78
bn04.0165.01	Brown	BN04	Adventure Fiction	0	of	BOD	the backs  of their wounded , screaming mounts		their wounded, screaming mounts	mount	CommonN	Y	the backs	backs	animate	animate	Anim	Inanim	g	Y	N	-2.823908741	4	2	78
bn12.0156.04	Brown	BN12	Adventure Fiction	0	s	BOD	the animal's face		the animal's	animal	CommonN	N	face	face	animate	animate	Anim	Inanim	g	Y	Y	-2.823908741	2	1	66
bn07.0083.01	Brown	BN07	Adventure Fiction	0	s	BOD	Carl Dill's arm		Carl Dill's	Carl Dill	ProperN	N	arm	arm	animate	animate	Anim	Inanim	g	Y	Y	-2.698970004	2	1	73
bn09.0136.01	Brown	BN09	Adventure Fiction	0	s	BOD	the field boss's arm		the field boss's	boss	CommonN	Y	arm	arm	animate	animate	Anim	Inanim	g	Y	Y	-2.698970004	3	1	72
bn11.0030.02	Brown	BN11	Adventure Fiction	0	s	BOD	William Lewis' chest		William Lewis'	William Lewis	ProperN	Y	chest	chest	animate	animate	Anim	Inanim	g	Y	N	-2.698970004	2	1	79
bn04.0101.02	Brown	BN04	Adventure Fiction	0	of	BOD	the chest  of his pony		his pony	pony	CommonN	N	the chest	chest	animate	animate	Anim	Inanim	g	Y	Y	-2.602059991	2	2	72
bn04.0144.01	Brown	BN04	Adventure Fiction	1	s	BOD	an Indian's face		an Indian's	Indian	ProperN	N	face	face	animate	animate	Anim	Inanim	n	Y	Y	-2.602059991	2	1	75
bn18.0012.01	Brown	BN18	Adventure Fiction	0	of	BOD	The very faces  of the people		the people	people	CommonN	N	The very faces	faces	animate	animate	Anim	Inanim	g	Y	N	-2.602059991	2	3	83
bn02.0138.01	Brown	BN02	Adventure Fiction	0	s	BOD	Lester's hand		Lester's	Lester	ProperN	N	hand	hand	animate	animate	Anim	Inanim	g	Y	Y	-2.602059991	1	1	71
bn02.0149.02	Brown	BN02	Adventure Fiction	0	of	BOD	the hoofs  of Gavin's stallion		Gavin's stallion	stallion	CommonN	N	the hoofs	hoofs	animate	animate	Anim	Inanim	g	Y	N	-2.602059991	2	2	76
bn02.0078.01	Brown	BN02	Adventure Fiction	0	s	BOD	the stallion's quivering neck		the stallion's	stallion	CommonN	N	quivering neck	neck	animate	animate	Anim	Inanim	g	Y	N	-2.602059991	2	2	71.23287671
bn02.0152.01	Brown	BN02	Adventure Fiction	0	s	BOD	the mare's neck		the mare's	mare	CommonN	N	neck	neck	animate	animate	Anim	Inanim	g	Y	Y	-2.602059991	2	1	75
bn02.0092.01	Brown	BN02	Adventure Fiction	0	s	BOD	the stallion's rump		the stallion's	stallion	CommonN	N	rump	rump	animate	animate	Anim	Inanim	g	Y	Y	-2.602059991	2	1	74
bn12.0086.02	Brown	BN12	Adventure Fiction	0	s	BOD	Arbuckle's blood		Arbuckle's	Arbuckle	ProperN	N	blood	blood	animate	animate	Anim	Inanim	g	Y	N	-2.522878745	1	1	74.07407407
bn15.0033.01	Brown	BN15	Adventure Fiction	0	s	BOD	The pilots' heads		The pilots'	pilots	CommonN	Y	heads	heads	animate	animate	Anim	Inanim	g	Y	N	-2.522878745	2	1	72
bn13.0001.03	Brown	BN13	Adventure Fiction	0	s	BOD	the Burnsides' glowering faces		the Burnsides'	Burnsides	ProperN	Y	glowering faces	faces	animate	animate	Anim	Inanim	g	Y	Y	-2.455931956	2	2	85.13513514
bn13.0030.02	Brown	BN13	Adventure Fiction	0	s	BOD	Nate's purpling forehead		Nate's	Nate	ProperN	N	purpling forehead	forehead	animate	animate	Anim	Inanim	g	Y	Y	-2.455931956	1	2	79
bn13.0029.01	Brown	BN13	Adventure Fiction	0	s	BOD	Nate's head		Nate's	Nate	ProperN	N	head	head	animate	animate	Anim	Inanim	g	Y	Y	-2.455931956	1	1	77
bn12.0136.02	Brown	BN12	Adventure Fiction	0	s	BOD	the big man's belly		the big man's	man	CommonN	N	belly	belly	animate	animate	Anim	Inanim	g	Y	Y	-2.397940009	3	1	79
bn04.0150.01	Brown	BN04	Adventure Fiction	0	of	BOD	the twitching body  of the man he had shot		the man he had shot	man	CommonN	N	the twitching body	body	animate	animate	Anim	Inanim	g	Y	N	-2.397940009	5	3	79
bn12.0123.01	Brown	BN12	Adventure Fiction	0	s	BOD	the man's flailing fist		the man's	man	CommonN	N	flailing fist	fist	animate	animate	Anim	Inanim	g	Y	Y	-2.397940009	2	2	77
bn12.0156.02	Brown	BN12	Adventure Fiction	0	s	BOD	the buckskin's halter rope		the buckskin's	buckskin	CommonN	N	halter rope	rope	animate	animate	Anim	Inanim	g	Y	Y	-2.397940009	2	2	66
bn13.0070.03	Brown	BN13	Adventure Fiction	0	s	BOD	Harmony's dark , brooding eyes		Harmony's	Harmony	ProperN	N	dark , brooding eyes	eye	animate	animate	Anim	Inanim	g	Y	Y	-2.346787486	1	4	70
bn07.0042.05	Brown	BN07	Adventure Fiction	0	s	BOD	the guard's head		the guard's	guard	CommonN	N	head	head	animate	animate	Anim	Inanim	g	Y	N	-2.346787486	2	1	79.74683544
bn01.0087.01	Brown	BN01	Adventure Fiction	0	s	BOD	The girl's thin face		The girl's	girl	CommonN	N	thin face	face	animate	animate	Anim	Inanim	g	Y	N	-2.259637311	2	2	70
bn02.0009.01	Brown	BN02	Adventure Fiction	0	of	BOD	the face  of the man he had known		the man he had known	man	CommonN	N	the face	face	animate	animate	Anim	Inanim	g	Y	N	-2.259637311	5	2	73
bn01.0055.01	Brown	BN01	Adventure Fiction	0	s	BOD	the girl's head		the girl's	girl	CommonN	N	head	head	animate	animate	Anim	Inanim	g	Y	N	-2.259637311	2	1	75
bn02.0102.01	Brown	BN02	Adventure Fiction	0	s	BOD	the horse's neck		the horse's	horse	CommonN	Y	neck	neck	animate	animate	Anim	Inanim	g	Y	N	-2.259637311	2	1	72
bn04.0084.02	Brown	BN04	Adventure Fiction	0	s	BOD	their horses' heads		their horses'	horse	CommonN	Y	heads	heads	animate	animate	Anim	Inanim	g	Y	N	-2.22184875	2	1	80
bn03.0095.01	Brown	BN03	Adventure Fiction	0	s	BOD	Dean's hand		Dean's	Dean	ProperN	N	hand	hand	animate	animate	Anim	Inanim	g	Y	Y	-2.187086643	1	1	86.36363636
bn02.0107.01	Brown	BN02	Adventure Fiction	0	of	BOD	the weary though watchful eyes  of two men posted a+few hundred yards away in the windless shelter of the trees		two men posted a+few hundred yards away in the windless shelter of the trees	men	CommonN	Y	the weary though watchful eyes	eyes	animate	animate	Anim	Inanim	n	Y	N	-2.15490196	8	5	70
bn07.0010.01	Brown	BN07	Adventure Fiction	0	s	BOD	the lighter man's shoulder		the lighter man's	man	CommonN	N	shoulder	shoulder	animate	animate	Anim	Inanim	g	Y	Y	-2.070581074	3	1	74.22680412
bn05.0084.01	Brown	BN05	Adventure Fiction	0	s	BOD	Wilson's chest		Wilson's	Wilson	ProperN	N	chest	chest	animate	animate	Anim	Inanim	g	Y	N	-2.045757491	1	1	75.86206897
bn02.0154.01	Brown	BN02	Adventure Fiction	0	s	BOD	Gavin's face		Gavin's	Gavin	ProperN	N	face	face	animate	animate	Anim	Inanim	g	Y	Y	-2	1	1	69
bn02.0011.01	Brown	BN02	Adventure Fiction	0	s	BOD	Gavin's lips		Gavin's	Gavin	ProperN	N	lips	lips	animate	animate	Anim	Inanim	g	Y	N	-2	1	1	72
bn09.0139.01	Brown	BN09	Adventure Fiction	0	s	BOD	Lord's hand		Lord's	Lord	ProperN	N	hand	hand	animate	animate	Anim	Inanim	g	Y	Y	-1.903089987	1	1	76
bn13.0093.02	Brown	BN13	Adventure Fiction	0	s	BOD	Dan's face		Dan's	Dan	ProperN	N	face	face	animate	animate	Anim	Inanim	g	Y	N	-1.886056648	1	1	81
bn13.0097.01	Brown	BN13	Adventure Fiction	0	s	BOD	Dan's upper lip		Dan's	Dan	ProperN	N	upper lip	lip	animate	animate	Anim	Inanim	g	Y	Y	-1.886056648	1	2	85
bn03.0080.01	Brown	BN03	Adventure Fiction	0	s	BOD	Mike's body		Mike's	Mike	ProperN	N	body	body	animate	animate	Anim	Inanim	g	Y	N	-1.795880017	1	1	70
bn15.0080.01	Brown	BN15	Adventure Fiction	0	s	BOD	Greg's eyes		Greg's	Greg	ProperN	N	eyes	eyes	animate	animate	Anim	Inanim	g	Y	Y	-1.782516056	1	1	90.12345679
bn15.0157.01	Brown	BN15	Adventure Fiction	0	s	BOD	Greg's fingers		Greg's	Greg	ProperN	N	fingers	fingers	animate	animate	Anim	Inanim	g	Y	N	-1.782516056	1	1	84.375
bn15.0019.02	Brown	BN15	Adventure Fiction	0	s	BOD	Greg's shoulders		Greg's	Greg	ProperN	N	shoulders	shoulders	animate	animate	Anim	Inanim	g	Y	N	-1.782516056	1	1	77
bn12.0125.01	Brown	BN12	Adventure Fiction	0	s	BOD	Curt's arm		Curt's	Curt	ProperN	N	arm	arm	animate	animate	Anim	Inanim	g	Y	Y	-1.677780705	1	1	74
bn12.0133.02	Brown	BN12	Adventure Fiction	0	s	BOD	Curt's brains		Curt's	Curt	ProperN	N	brains	brains	animate	animate	Anim	Inanim	g	Y	Y	-1.677780705	1	1	77
bn12.0087.01	Brown	BN12	Adventure Fiction	0	s	BOD	Curt's fingers		Curt's	Curt	ProperN	N	fingers	fingers	animate	animate	Anim	Inanim	g	Y	Y	-1.677780705	1	1	74.15730337
bn12.0121.02	Brown	BN12	Adventure Fiction	0	s	BOD	Curt's fist		Curt's	Curt	ProperN	N	fist	fist	animate	animate	Anim	Inanim	g	Y	Y	-1.677780705	1	1	81
bn12.0146.04	Brown	BN12	Adventure Fiction	0	s	BOD	Curt's fists		Curt's	Curt	ProperN	N	fists	fists	animate	animate	Anim	Inanim	g	Y	Y	-1.677780705	1	1	74
bn12.0134.02	Brown	BN12	Adventure Fiction	0	s	BOD	Curt's head		Curt's	Curt	ProperN	N	head	head	animate	animate	Anim	Inanim	g	Y	Y	-1.677780705	1	1	75
bn12.0093.02	Brown	BN12	Adventure Fiction	0	s	BOD	Jess's face		Jess's	Jess	ProperN	Y	face	face	animate	animate	Anim	Inanim	g	Y	Y	-1.628932138	1	1	75.75757576
bn12.0103.01	Brown	BN12	Adventure Fiction	0	s	BOD	Jess's swarthy face		Jess's	Jess	ProperN	Y	swarthy face	face	animate	animate	Anim	Inanim	g	Y	Y	-1.628932138	1	2	85.05747126
id=FROWNK01 <s c="0000084 092" n=00058>	Frown	K01	General Fiction		s	BOD	people's backs	Nothing is gained by going behind people 's backs . ''	people	people	CommonN	N	backs	backs	animate	animate	Anim	Inanim	n	Y	Y	-3.301029996	1	1	86.66666667
id=FROWNK21 <s c="0004193 102" n=03054>	Frown	K21	General Fiction		of	BOD	the blood of Christian children	Not soon will he feast on beans and the blood of Christian children .	Christian children	children	CommonN	N	the blood	blood	animate	animate	Anim	Inanim	n	Y	N	-3.301029996	2	2	72
id=FROWNK25 <s c="0005062 002" n=03727>	Frown	K25	General Fiction		s	BOD	other children's feet	Outside , other children 's feet thump off to school .	other children	children	CommonN	N	feet	feet	animate	animate	Anim	Inanim	n	Y	N	-3.301029996	2	1	76
id=FROWNK21 <s c="0004188 012" n=03051>	Frown	K21	General Fiction		s	BOD	a horse's flanks	Gusts find their way under my cassock , ripple my thighs like a horse 's flanks .	a horse	horse	CommonN	Y	flanks	flanks	animate	animate	Anim	Inanim	n	Y	N	-3.301029996	2	1	77
id=FROWNK21 <s c="0004288 042" n=03132>	Frown	K21	General Fiction		of	BOD	the hands of Marranos	I have fallen into the hands of Marranos , false converters , mockers of the sacrosanct baptismal ceremony .	Marranos	Marranos	ProperN	Y	the hands	hands	animate	animate	Anim	Inanim	n	Y	N	-3.301029996	1	2	74
id=FROWNK25 <s c="0005211 002" n=03826>	Frown	K25	General Fiction		of	BOD	the head of Howdy Doody	But my mother does n't even bother to turn around because in her opinion peanut butter and nail polish are the exact same thing : both of them made up inside the head of Howdy Doody .	Howdy Doody	Howdy	ProperN	N	the head	head	animate	animate	Anim	Inanim	n	Y	N	-3.301029996	2	2	77
id=FROWNK25 <s c="0005151 002" n=03780>	Frown	K25	General Fiction		s	BOD	the lad's eye	`` For your son , O great Sire , I have prepared a special salve and now the lad 's eye is as bright as ever it was . ''	the lad	lad	CommonN	N	eye	eye	animate	animate	Anim	Inanim	n	Y	Y	-3	2	1	71
id=FROWNK04 <s c="0000749 062" n=00637>	Frown	K04	General Fiction		of	BOD	lips of a young and intoxicated ensign	The exec had left us to take command of another LST , and I did not believe that any of the friendly junior officers would do so vile a thing consciously , but we drank a good deal at our parties , and I could not be sure what distorted joke might emerge from the lips of a young and intoxicated ensign .	a young and intoxicated ensign	ensign	CommonN	N	lips	lips	animate	animate	Anim	Inanim	n	N	N	-3	5	1	74
id=FROWNK21 <s c="0004374 072" n=03211>	Frown	K21	General Fiction		of	BOD	the sinews of the flesh	I am proud to dip my torch to the scattered bundles of straw , which crackle and smoke until the oils of the wood and the sinews of the flesh catch fire .	the flesh	flesh	CommonN	N	the sinews	sinews	inanimate	inanimate	Inanim	Inanim	n	Y	N	-3	2	2	71
id=FROWNK03 <s c="0000571 062" n=00496>	Frown	K03	General Fiction		s	BOD	other people's blood	Everyone is handsome , shining just thinking about other people 's blood .	other people	people	CommonN	N	blood	blood	animate	animate	Anim	Inanim	n	N	N	-2.823908741	2	1	86.04651163
id=FROWNK03 <s c="0000494 102" n=00392>	Frown	K03	General Fiction		s	BOD	her partner's mustache	No white strands grow in her partner 's mustache .	her partner	partner	CommonN	N	mustache	mustache	animate	animate	Anim	Inanim	g	Y	Y	-2.823908741	2	1	81.39534884
id=FROWNK04 <s c="0000709 092" n=00613>	Frown	K04	General Fiction		of	BOD	the staring white faces  of the gun crew	At least I can recall leaning over the side on the stern , vaguely aware of the staring white faces of the gun crew of the three-inch fifty close beside me , and peering into the hissing foam of our wake .	the gun crew	crew	CommonN	N	the staring white faces	faces	collective	collective	Inanim	Inanim	n	Y	N	-2.698970004	3	4	71
id=FROWNK10 <s c="0001979 002" n=01412>	Frown	K10	General Fiction		s	BOD	the woman's powdered skin	Between folded wings of peacock-shimmery Persian silk , the woman 's powdered skin glowed in his imperfect vision , which needed for focus constant small adjustments of his head .	the woman	woman	CommonN	N	powdered skin	skin	animate	animate	Anim	Inanim	n	Y	Y	-2.698970004	2	2	76
id=FROWNK03 <s c="0000487 002" n=00384>	Frown	K03	General Fiction		s	BOD	Dorcas' ear	Her partner does not whisper in Dorcas ' ear .	Dorcas	Dorcas	ProperN	Y	ear	ear	animate	animate	Anim	Inanim	g	Y	N	-2.602059991	1	1	84
id=FROWNK04 <s c="0000725 012" n=00626>	Frown	K04	General Fiction		of	BOD	the eyes of the exec	But only in the eyes of the exec , a strange saturnine fellow in whom I fancied I could detect a resemblance to Andy Ritter , did I really believe I could make out a glimmer of contempt , and I suspected him of having felt that for me all along .	the exec	exec	CommonN	N	the eyes	eyes	animate	animate	Anim	Inanim	n	Y	N	-2.602059991	2	2	76
id=FROWNK18 <s c="0003722 002" n=02624>	Frown	K18	General Fiction		s	BOD	Francesca's mind	Francesca 's mind worked the problem .	Francesca	Francesca	ProperN	N	mind	mind	animate	animate	Anim	Inanim	n	Y	N	-2.602059991	1	1	86.74698795
id=FROWNK24 <s c="0004818 052" n=03585>	Frown	K24	General Fiction		s	BOD	his old man's lined and shrunken face	Where the rabbi was hiding at the moment the teacher did not know ; but in the lit glass appeared his old man 's lined and shrunken face , his sad eyes , compelling , inquisitive , weary , perhaps even frightened , as though they had seen more than they had cared to but were still looking .	his old man	man	CommonN	N	lined and shrunken face	face	animate	animate	Anim	Inanim	n	Y	Y	-2.522878745	3	4	83
id=FROWNK24 <s c="0004909 052" n=03644>	Frown	K24	General Fiction		s	BOD	the man's shifty face	He pictured the crown , as he had seen it , established on the rabbi 's head , and then seemed to remember that as he had stared at the man 's shifty face in the mirror the thickened lid of his right eye had slowly dropped into a full wink .	the man	man	CommonN	N	shifty face	face	animate	animate	Anim	Inanim	n	Y	N	-2.522878745	2	2	76
id=FROWNK17 <s c="0003525 002" n=02444>	Frown	K17	General Fiction		s	BOD	The old man's eyes	The old man 's eyes twinkled over his high cheekbones , alight with boreal suspicion .	The old man	man	CommonN	N	eyes	eyes	animate	animate	Anim	Inanim	g	Y	N	-2.397940009	3	1	85
id=FROWNK17 <s c="0003398 082" n=02349>	Frown	K17	General Fiction		of	BOD	the balding head of a middle-aged man	Looking more closely , he saw the balding head of a middle-aged man above one rank of boxes .	a middle-aged man	man	CommonN	N	the balding head	head	animate	animate	Anim	Inanim	n	Y	N	-2.397940009	3	3	69
id=FROWNK10 <s c="0002039 043" n=01434>	Frown	K10	General Fiction		s	BOD	a man's forearm	Her feathery banter was to his vanity , we might conceive , as a deep barrel of sifted flour is to a man 's forearm .	a man	man	CommonN	N	forearm	forearm	animate	animate	Anim	Inanim	g	Y	N	-2.346787486	2	1	78
